-34,-450.29
-31,-443.561
-28,-436.875
-24,-429.235
-20,-421.645
-15,-413.111
-10,-404.636
-5,-396.22
1,-386.867
7,-377.582
13,-368.364
20,-358.217
27,-348.147
35,-337.156
42,-327.244
50,-316.412
59,-304.668
67,-294.011
76,-282.442
85,-270.963
95,-258.58
105,-246.296
115,-234.112
125,-222.026
135,-210.038
146,-197.152
157,-184.372
168,-171.699
180,-158.135
191,-145.68
203,-132.335
215,-119.102
227,-105.982
239,-92.9733
252,-79.0807
264,-66.3034
277,-52.641
289,-40.093
302,-26.6588
315,-13.3424
328,-0.143325
341,12.939
354,25.9051
367,38.7555
380,51.4907
393,64.1112
405,75.6219
418,88.0234
431,100.312
444,112.488
457,124.551
470,136.503
482,147.348
495,159.087
507,169.721
519,180.254
531,190.686
543,201.019
555,211.252
567,221.387
578,230.427
590,240.374
601,249.229
612,257.995
622,265.677
633,274.277
643,281.795
653,289.235
663,296.597
672,302.888
681,309.111
690,315.266
699,321.355
707,326.382
715,331.351
722,335.268
729,339.137
736,342.959
742,345.737
748,348.478
754,351.18
759,352.849
764,354.49
768,355.107
772,355.704
776,356.282
779,355.845
781,354.402
784,353.954
786,352.501
787,350.051
788,347.609
789,345.174
789,341.752
788,337.352
788,333.972
787,329.614
785,324.286
783,318.992
781,313.733
778,307.512
775,301.334
772,295.199
768,288.111
764,281.075
759,273.094
754,265.173
748,256.316
742,247.527
736,238.806
729,229.158
722,219.586
715,210.089
707,199.674
699,189.342
691,179.094
682,167.935
673,156.867
664,145.891
654,134.011
644,122.231
634,110.551
624,98.9688
613,86.4901
602,74.1183
591,61.8531
579,48.6984
568,36.6537
556,23.7186
544,10.8969
532,-1.81173
520,-14.4079
507,-27.8876
495,-40.2514
482,-53.4998
470,-65.6334
457,-78.6526
444,-91.5535
431,-104.337
418,-117.003
405,-129.552
392,-141.985
379,-154.303
366,-166.506
353,-178.594
340,-190.568
327,-202.429
314,-214.177
301,-225.812
288,-237.336
275,-248.749
262,-260.05
250,-270.246
237,-281.337
225,-291.323
212,-302.205
200,-311.983
188,-321.662
176,-331.243
164,-340.727
153,-349.117
142,-357.419
130,-366.63
119,-374.749
109,-381.786
98,-389.741
88,-396.615
78,-403.413
69,-409.139
59,-415.794
50,-421.378
41,-426.896
33,-431.353
25,-435.753
17,-440.098
9,-444.387
2,-447.625
-4,-449.821
-11,-452.975
-17,-455.088
-23,-457.165
-28,-458.21
-33,-459.227
-37,-459.222
-41,-459.199
-45,-459.158
-48,-458.104
-51,-457.041
-54,-455.969
-55,-452.898
-57,-450.832
-58,-447.771
-59,-444.719
-59,-440.682
-59,-436.662
-58,-431.666
-57,-426.697
-55,-420.759
-54,-415.853
-51,-408.983
-49,-403.153
-46,-396.363
-42,-388.622
-38,-380.935
-34,-373.3
-30,-365.718
-25,-357.194
-19,-347.735
-14,-339.342
-7,-329.019
-1,-319.769
6,-309.593
13,-299.496
21,-288.48
28,-278.545
37,-266.697
45,-255.938
54,-244.269
63,-232.694
72,-221.212
81,-209.823
91,-197.531
101,-185.339
112,-172.253
122,-160.271
133,-147.394
144,-134.624
155,-121.962
167,-108.412
178,-95.9732
190,-82.6449
202,-69.4313
214,-56.3318
227,-42.3505
239,-29.4867
252,-15.74
264,-3.10986
277,10.4042
290,23.7984
303,37.0731
316,50.2289
329,63.2664
342,76.186
355,88.9883
368,101.674
381,114.243
394,126.697
407,139.036
420,151.26
433,163.369
445,174.37
458,186.262
471,198.042
483,208.714
496,220.279
508,230.737
520,241.094
532,251.35
544,261.505
556,271.56
567,280.52
579,290.385
590,299.156
601,307.838
611,315.435
622,323.948
632,331.377
642,338.728
652,346
661,352.199
670,358.329
679,364.391
687,369.39
696,375.325
703,379.202
711,384.025
718,387.794
725,391.516
731,394.193
737,396.831
742,398.435
747,400.009
752,401.553
757,403.068
760,402.562
764,403.041
767,402.504
770,401.955
772,400.401
774,398.844
775,396.29
776,393.743
777,391.203
777,387.674
777,384.162
776,379.67
775,375.202
774,370.76
772,365.347
769,358.971
767,353.634
764,347.334
760,340.081
756,332.878
752,325.726
747,317.629
742,309.592
737,301.613
731,292.697
725,283.849
718,274.072
711,264.371
704,254.745
696,244.199
688,233.737
680,223.358
671,212.066
662,200.866
653,189.757
643,177.744
633,165.83
623,154.014
612,141.302
602,129.692
591,117.184
579,103.786
568,91.4989
556,78.321
545,66.2521
533,53.2918
520,39.4485
508,26.7218
496,14.1065
483,0.606704
470,-12.7737
458,-25.0396
445,-38.1916
432,-51.2258
419,-64.1427
406,-76.9427
393,-89.6265
380,-102.195
366,-115.643
353,-127.972
340,-140.188
327,-152.289
314,-164.278
301,-176.154
288,-187.918
275,-199.571
262,-211.113
249,-222.544
236,-233.866
224,-244.082
211,-255.194
199,-265.203
187,-275.112
175,-284.923
163,-294.636
151,-304.251
